Gesellschaft,Thema,Status,Verantwortlicher,Naechster_Schritt,Prioritaet,Zieltermin,Kommentar
HAZEMAG,Datentransfer: lesen,Gruen,N. Ridder,Laufend nutzen,Niedrig,,Lesefunktion funktioniert grundsaetzlich. FEST Bisher nur Test-Datei empfangen; Ticket bei FEE (ERP Anbieter) zwecks Datenexport.
HAZEMAG,Datentransfer: schreiben,Rot,N. Ridder,Schreibfunktion je Firma fertigstellen,Hoch,,Schreibfunktion zurueck ins ERP bei allen Firmen in Arbeit.
HAZEMAG,Warengruppen,Gelb,N. Ridder,Konsolidierte Warengruppen auf Gruppenebene erstellen,Mittel,,Muss teilweise eingefuehrt werden bzw. geprueft werde. Auf Gruppenebene muessen neue konsolidierte Warengruppen erstellt werden.
HAZEMAG,Analytics,Gruen,N. Ridder,Laufend nutzen,Niedrig,,Funktioniert bei allen Einheiten die live sind (bis auf FEST). Natuerlich stark abhaengig von Datenqualitaet (siehe KPIs).
HAZEMAG,Einsparungen (Hinweise),Gruen,N. Ridder,Laufend nutzen,Niedrig,,Funktioniert bei allen Einheiten die live sind (bis auf FEST). Natuerlich stark abhaengig von Datenqualitaet (siehe KPIs).
HAZEMAG,RFQs,Gelb,N. Ridder,"Rueckschreibfunktion ins ERP fertigstellen, Academy abschliessen",Mittel,,Modul bei allen Einheiten funktionsfaehig. Rueckschreibfunktions ins ERP ausstehend. Academy muss abgeschlossen werden um eigene Abfragen zu erstellen.
HAZEMAG,Agenten,Gelb,N. Ridder,Preisabwehragent und weitere Agenten fertigstellen,Mittel,,Verhandlungsagent live. Preisabwehr nicht. Andere offen.
HAZEMAG,Lieferantenabfragen,Gruen,N. Ridder,Laufend nutzen,Niedrig,,Modul bei allen Einheiten funktionsfaehig.
HAZEMAG,Lieferantenbewertungen,Gruen,N. Ridder,Laufend nutzen,Niedrig,,Modul bei allen Einheiten funktionsfaehig.
HAZEMAG,Auftragsbestaetigung,Rot,N. Ridder,Auftragsbestaetigungs-Funktion umsetzen,Hoch,,Bei allen Einheiten ausstehend.
Allmineral,Datentransfer: lesen,Gruen,N. Ridder,Laufend nutzen,Niedrig,,Lesefunktion funktioniert grundsaetzlich. FEST Bisher nur Test-Datei empfangen; Ticket bei FEE (ERP Anbieter) zwecks Datenexport.
Allmineral,Datentransfer: schreiben,Rot,N. Ridder,Schreibfunktion je Firma fertigstellen,Hoch,,Schreibfunktion zurueck ins ERP bei allen Firmen in Arbeit.
